fixture	style	status	diff_lines	full_viewbox_width	full_viewbox_height	unified_viewbox_width	unified_viewbox_height	viewbox_width_delta	viewbox_height_delta
ampersand.mmd	basis	diff	17	318.15	278.00	318.15	278.00	0.00	0.00
backward_in_subgraph.mmd	basis	diff	13	219.06	254.00	219.06	254.00	0.00	0.00
bidirectional_arrows.mmd	basis	diff	15	84.91	382.00	84.91	382.00	0.00	0.00
bidirectional.mmd	basis	diff	15	84.91	382.00	84.91	382.00	0.00	0.00
bottom_top.mmd	basis	diff	13	155.25	278.00	155.25	278.00	0.00	0.00
br_line_breaks.mmd	basis	diff	13	123.70	422.00	123.70	422.00	0.00	0.00
chain.mmd	basis	diff	15	125.00	382.00	125.00	382.00	0.00	0.00
ci_pipeline.mmd	basis	diff	21	1093.09	174.00	1093.09	174.00	0.00	0.00
compat_class_annotation.mmd	basis	diff	15	203.82	362.88	203.82	362.88	0.00	0.00
compat_directive.mmd	basis	diff	15	269.52	362.88	269.52	362.88	0.00	0.00
compat_frontmatter.mmd	basis	diff	13	84.91	278.00	84.91	278.00	0.00	0.00
compat_hyphenated_ids.mmd	basis	diff	15	150.98	449.06	150.98	449.06	0.00	0.00
compat_invisible_edge.mmd	basis	diff	13	119.91	278.00	119.91	278.00	0.00	0.00
compat_kitchen_sink.mmd	basis	diff	19	295.88	498.06	295.88	498.06	0.00	0.00
compat_no_direction.mmd	basis	diff	11	111.26	174.00	111.26	174.00	0.00	0.00
compat_numeric_ids.mmd	basis	diff	13	418.12	70.00	418.12	70.00	0.00	0.00
complex.mmd	basis	diff	31	579.64	757.28	579.64	757.28	0.00	0.00
cross_circle_arrows.mmd	basis	diff	17	84.91	486.00	84.91	486.00	0.00	0.00
decision.mmd	basis	diff	17	285.44	413.36	285.44	413.36	0.00	0.00
diamond_fan.mmd	basis	diff	17	251.89	278.00	251.89	278.00	0.00	0.00
direction_override.mmd	basis	same	0	473.00	328.00	473.00	328.00	0.00	0.00
double_skip.mmd	basis	diff	19	214.75	382.00	214.75	382.00	0.00	0.00
edge_styles.mmd	basis	diff	17	573.60	174.00	573.60	174.00	0.00	0.00
external_node_subgraph.mmd	basis	diff	17	536.01	393.00	536.01	393.00	0.00	0.00
fan_in_lr.mmd	basis	diff	15	273.23	278.00	273.23	278.00	0.00	0.00
fan_in.mmd	basis	diff	15	495.33	174.00	495.33	174.00	0.00	0.00
fan_out.mmd	basis	diff	15	487.54	174.00	487.54	174.00	0.00	0.00
